17,22,27,32,37,42,47,52,57,62,Points
0,0,0,0,0,0,0,0,0,0,0
4,4.2,4.3,4.4,4.4,4.3,4.1,4,4,3.7,0
---,---,---,---,---,---,---,---,---,---,1
4.1,4.3,4.4,4.5,4.5,4.4,4.2,4.1,4.1,3.8,2
---,---,---,---,---,---,---,---,---,---,3
4.2,4.4,4.5,4.6,4.6,4.5,4.3,4.2,4.2,3.9,4
---,---,---,---,---,---,---,---,---,---,5
4.3,4.5,4.6,4.7,4.7,4.6,4.4,4.3,4.3,4,6
---,---,---,---,---,---,---,---,---,---,7
4.4,4.6,4.7,4.8,4.8,4.7,4.5,4.4,4.4,4.1,8
---,---,---,---,---,---,---,---,---,---,9
4.5,4.7,4.8,4.9,4.9,---,---,---,---,---,10
---,---,---,---,---,4.8,4.6,4.5,4.5,---,11
4.6,4.8,4.9,5,5,---,---,---,---,4.2,12
---,---,---,---,---,---,4.7,4.6,4.6,---,13
4.7,4.9,5,5.1,5.1,4.9,---,---,---,---,14
---,---,5.1,---,---,---,---,---,---,---,15
4.8,5,---,5.2,5.2,---,4.8,4.7,4.7,---,16
---,---,5.2,---,---,---,---,---,---,4.3,17
4.9,5.1,---,5.3,5.3,5,4.9,4.8,4.8,---,18
---,---,5.3,---,---,---,---,---,---,---,19
---,---,---,5.4,---,---,---,---,---,---,20
5,5.2,5.4,---,5.4,5.1,5,---,---,---,21
---,---,---,5.5,---,---,---,---,---,---,22
---,5.3,5.5,---,5.5,5.2,5.1,---,---,---,23
5.1,---,---,5.6,---,---,---,4.9,4.9,4.4,24
---,---,---,---,---,---,---,---,---,---,25
---,5.4,5.6,5.7,5.6,5.3,5.2,---,---,---,26
---,---,---,---,---,---,---,---,---,---,27
5.2,5.5,5.7,5.8,5.7,5.4,5.3,---,---,---,28
---,---,---,---,---,---,---,---,---,---,29
---,---,---,---,---,---,---,---,---,---,30
5.3,5.6,---,---,---,5.5,---,5,---,---,31
---,---,5.8,5.9,5.8,---,5.4,---,---,4.5,32
---,5.7,---,---,---,5.6,---,---,---,---,33
5.4,---,---,---,---,---,---,5.1,---,---,34
---,---,---,---,---,---,---,---,---,---,35
---,5.8,---,---,---,5.7,---,---,---,---,36
---,---,5.9,6,5.9,---,5.5,---,---,4.6,37
5.5,5.9,---,---,---,5.8,---,5.2,---,---,38
---,---,---,---,---,---,---,---,---,---,39
---,---,---,---,---,---,---,---,---,---,40
---,---,6,---,---,---,---,---,---,---,41
5.6,---,---,6.1,6,---,5.6,5.3,5,---,42
---,---,---,---,---,---,---,---,---,---,43
---,6,6.1,---,---,5.9,---,---,---,4.7,44
---,---,---,---,---,---,---,---,---,---,45
---,---,---,---,---,---,---,---,---,---,46
5.7,---,---,6.2,6.1,---,5.7,5.4,5.1,---,47
---,---,6.2,---,---,---,---,---,---,---,48
---,---,---,---,---,---,---,---,---,---,49
---,---,---,---,---,---,---,---,---,---,50
---,---,---,---,---,---,---,---,---,---,51
5.8,6.1,6.3,6.3,6.2,6,5.8,5.5,---,---,52
---,---,---,---,---,---,---,---,---,---,53
---,---,---,---,---,---,---,---,5.2,4.8,54
---,---,---,---,---,---,---,---,---,---,55
---,---,---,---,---,---,---,---,---,---,56
5.9,6.2,6.4,6.4,6.3,6.1,5.9,5.6,---,---,57
---,---,---,---,---,---,---,---,---,---,58
---,---,---,---,---,---,---,---,---,---,59
6,6.3,6.5,6.5,6.4,6.2,6,5.7,5.3,4.9,60
6.6,6.9,7.1,7.1,7,6.7,6.4,6,5.7,5.1,61
6.9,7.3,7.5,7.4,7.3,7.1,6.7,6.2,6,5.4,62
7.2,7.5,7.7,7.6,7.5,7.3,6.9,6.4,6.1,5.7,63
7.4,7.7,7.9,7.9,7.7,7.4,7.1,6.6,6.2,5.9,64
7.5,7.8,8.1,8.1,7.8,7.6,7.2,6.7,6.3,---,65
7.7,8.1,8.3,8.2,8.1,7.8,7.4,6.9,6.5,6.1,66
7.9,8.2,8.4,8.3,8.2,7.9,7.5,---,6.6,---,67
8,8.3,8.5,8.5,8.3,8,7.6,7,6.7,6.2,68
8.1,8.5,8.6,8.6,8.5,8.1,7.7,7.1,6.8,6.4,69
8.2,8.6,8.8,8.7,8.6,8.2,7.9,7.3,6.9,6.6,70
8.3,8.8,8.9,8.8,8.7,8.3,8,7.4,---,6.7,71
8.4,8.9,9,8.9,8.8,8.4,8.1,7.5,7,6.8,72
8.5,9,9.2,9.1,8.9,8.6,---,7.6,7.1,7,73
8.6,9.1,---,9.2,9,---,8.2,7.7,7.2,7.1,74
8.8,9.2,9.3,9.3,9.1,8.7,8.3,---,7.3,---,75
8.9,9.3,9.4,9.4,9.2,8.8,8.4,7.8,7.4,7.2,76
9,9.4,9.6,9.5,9.3,8.9,8.5,7.9,---,7.3,77
9.1,9.5,9.7,9.6,9.4,9,8.6,8,7.5,---,78
9.2,9.6,---,9.7,9.5,9.1,---,---,7.6,7.4,79
9.3,9.7,9.8,9.8,9.6,9.2,8.7,8.1,7.7,---,80
9.4,9.8,10,9.9,9.7,9.3,8.8,8.2,7.8,7.5,81
9.5,9.9,10.1,10,9.8,9.4,8.9,8.3,7.9,---,82
9.6,10,10.2,10.1,9.9,9.5,9,8.4,8,7.6,83
9.7,10.1,10.4,10.2,10.1,9.6,9.1,8.5,---,7.7,84
9.8,10.2,10.5,10.3,10.2,9.7,9.2,---,8.1,---,85
