17,22,27,32,37,42,47,52,57,62,Points
0,0,0,0,0,0,0,0,0,0,0
60,60,60,60,60,60,60,60,60,60,0
70,70,70,70,70,70,70,70,70,70,10
80,80,80,80,80,80,80,80,80,80,20
90,90,90,90,90,90,90,90,90,90,30
100,100,100,100,100,100,100,100,100,100,40
110,110,110,110,110,110,110,110,110,110,50
120,120,120,120,120,120,120,120,120,120,60
---,---,---,---,---,---,---,---,---,---,61
---,---,---,---,---,---,---,---,---,---,62
---,---,---,---,---,---,---,---,---,---,63
130,130,130,130,---,---,---,---,---,---,64
---,---,---,---,130,130,---,---,---,---,65
---,---,---,---,---,---,---,---,---,---,66
---,---,---,---,---,---,130,---,---,---,67
---,---,---,---,---,---,---,---,---,---,68
---,---,---,---,---,---,---,---,---,---,69
---,---,---,---,---,---,---,130,---,---,70
140,140,140,140,140,---,---,---,130,---,71
---,---,---,---,---,140,---,---,---,130,72
---,---,---,---,---,---,140,---,---,---,73
---,---,---,---,---,---,---,---,---,---,74
---,---,---,---,---,---,---,---,---,---,75
---,---,---,---,---,---,---,---,---,---,76
---,---,---,---,---,---,---,---,---,---,77
150,150,---,---,---,---,---,---,---,---,78
---,---,150,150,150,150,150,---,---,---,79
---,---,---,---,---,---,---,140,140,140,80
---,---,---,---,---,---,---,---,---,---,81
---,---,---,---,---,---,---,---,---,---,82
---,---,---,---,---,---,---,---,---,---,83
---,---,---,---,---,---,---,---,---,---,84
---,---,---,---,---,---,---,---,---,---,85
---,---,160,---,---,---,---,---,---,---,86
160,160,---,---,---,---,---,---,---,---,87
---,---,---,160,---,---,---,---,---,---,88
---,170,170,---,---,---,---,---,---,---,89
---,---,---,---,160,160,160,150,150,150,90
170,180,180,170,---,---,---,---,---,---,91
---,---,---,---,---,---,---,---,---,---,92
---,---,---,180,170,---,---,---,---,---,93
180,190,190,---,---,---,---,---,---,---,94
---,---,200,190,180,170,---,---,---,---,95
---,200,---,200,---,180,---,---,---,---,96
190,---,---,---,190,---,170,160,---,---,97
200,210,210,210,---,190,---,170,---,---,98
---,220,220,220,200,200,180,180,160,160,99
210,230,230,230,210,210,190,190,170,170,100
